Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
NE;CE;SOBRAL;POSTO NORDESTE DISTRIBUIDORA E TRANSPORTADORA DE DERIVADOSDE PETROLEO LTDA - EPP; 02.344.540/0001-18;AVENIDA SENADOR FERNANDES TAVORA;1131;;SINHA SABOIA;62050-000;GASOLINA;04/07/2017;3,79;;R$ / litro;RAIZEN
NE;CE;SOBRAL;POSTO NORDESTE DISTRIBUIDORA E TRANSPORTADORA DE DERIVADOSDE PETROLEO LTDA - EPP; 02.344.540/0001-18;AVENIDA SENADOR FERNANDES TAVORA;1131;;SINHA SABOIA;62050-000;ETANOL;04/07/2017;3,15;;R$ / litro;RAIZEN
NE;CE;SOBRAL;POSTO NORDESTE DISTRIBUIDORA E TRANSPORTADORA DE DERIVADOSDE PETROLEO LTDA - EPP; 02.344.540/0001-18;AVENIDA SENADOR FERNANDES TAVORA;1131;;SINHA SABOIA;62050-000;DIESEL S10;04/07/2017;3,099;;R$ / litro;RAIZEN
NE;CE;SOBRAL;POSTO PRINCESA DO NORTE LTDA; 01.914.855/0001-90;RUA MENINO DEUS;691;;CENTRO;62010-310;GASOLINA;04/07/2017;3,819;;R$ / litro;BRANCA
NE;CE;SOBRAL;POSTO PRINCESA DO NORTE LTDA; 01.914.855/0001-90;RUA MENINO DEUS;691;;CENTRO;62010-310;ETANOL;04/07/2017;3,19;;R$ / litro;BRANCA
NE;CE;SOBRAL;POSTO PRINCESA DO NORTE LTDA; 01.914.855/0001-90;RUA MENINO DEUS;691;;CENTRO;62010-310;DIESEL S10;04/07/2017;3,29;;R$ / litro;BRANCA
NE;CE;SOBRAL;COMERCIO DE PETROLEO E LUBRIF. SAO DOMINGOS LTDA; 01.492.450/0001-01;RODOVIA BR 222;S/N;KM 232;JABURUNA;62011-970;GASOLINA;04/07/2017;3,789;3,435;R$ / litro;RAIZEN
NE;CE;SOBRAL;COMERCIO DE PETROLEO E LUBRIF. SAO DOMINGOS LTDA; 01.492.450/0001-01;RODOVIA BR 222;S/N;KM 232;JABURUNA;62011-970;ETANOL;04/07/2017;3,199;2,798;R$ / litro;RAIZEN
NE;CE;SOBRAL;COMERCIO DE PETROLEO E LUBRIF. SAO DOMINGOS LTDA; 01.492.450/0001-01;RODOVIA BR 222;S/N;KM 232;JABURUNA;62011-970;DIESEL;04/07/2017;3,099;2,685;R$ / litro;RAIZEN
NE;CE;SOBRAL;COMERCIO DE PETROLEO E LUBRIF. SAO DOMINGOS LTDA; 01.492.450/0001-01;RODOVIA BR 222;S/N;KM 232;JABURUNA;62011-970;DIESEL S10;04/07/2017;3,149;2,7979;R$ / litro;RAIZEN
NE;CE;SOBRAL;GLORIMAR PETROLEO E LUBRIFICANTES LTDA; 01.488.905/0001-15;AVENIDA DOM JOSE;1449;;CENTRO;62011-280;GASOLINA;04/07/2017;3,79;3,384;R$ / litro;RAIZEN
NE;CE;SOBRAL;GLORIMAR PETROLEO E LUBRIFICANTES LTDA; 01.488.905/0001-15;AVENIDA DOM JOSE;1449;;CENTRO;62011-280;ETANOL;04/07/2017;3,19;2,7949;R$ / litro;RAIZEN
